DISTRICT,District Code,Facility Code,Facility Name,ZONE,FACTYPE,MGA,FTYPE,LATITUDE,LONGITUDE,,
,,,,,,,,,,,
Chitipa,CP,101,Banja La Mtsogolo Clinic,Northern,Clinic,NGO,Urban,-9.70176,33.27335,,
Chitipa,CP,102,Chambo Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-9.94361,33.39795,,
Chitipa,CP,103,Chitipa District Hospital,Northern,District Hospital,Government/public,Urban,-9.70159,33.2659,,
Chitipa,CP,104,Ifumbo Health Centre,Northern,Health Centre,Government/public,Rural,-9.60436,33.40495,,
Chitipa,CP,105,Kameme Health Centre,Northern,Health Centre,Government/public,Rural,-9.54425,33.13134,,
Chitipa,CP,106,Kapenda Health Centre,Northern,Health Centre,Government/public,Urban,-9.49394,33.24911,,
Chitipa,CP,107,Kaseye Mission Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-9.66644,33.37361,,
Chitipa,CP,108,Misuku Health Centre,Northern,Health Centre,Government/public,Rural,-9.67977,33.52076,,
Chitipa,CP,112,Mpale Private Clinic,Northern,Clinic,Private for profit,Rural,-10.1869,33.54168,,
Chitipa,CP,109,Msumbe Dispensary,Northern,Dispensary,Christian Health Association of Malawi (CHAM),Rural,-9.75123,33.67563,,
Chitipa,CP,110,Nthalire Health Centre,Northern,Health Centre,Government/public,Rural,-10.34894,33.64394,,
Chitipa,CP,111,Wenya Health Centre,Northern,Health Centre,Government/public,Rural,-10.11286,33.56344,,
,,,,,,,,,,,
Karonga,KA,206,Karonga District Hospital,Northern,District Hospital,Government/public,Urban,-9.95545,33.91113,,
Karonga,KA,216,Atupele Community Hospital,Northern,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,-9.73682,33.83744,,
Karonga,KA,219,"Care Private Clinic, Mphenzi,",Northern,Clinic,Private for profit,Urban,-9.93942,33.92297,,
Karonga,KA,201,Chilumba Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-10.43199,34.25193,,
Karonga,KA,220,"Chiza Private Clinic, Dube, Wy",Northern,Clinic,Private for profit,Rural,-10.45534,34.20951,,
Karonga,KA,202,Fulirwa Health Centre,Northern,Health Centre,Government/public,Rural,-10.44772,34.11211,,
Karonga,KA,203,Hara Health Centre,Northern,Dispensary,Government/public,Rural,-10.48876,34.16939,,
Karonga,KA,204,Iponga Health Centre,Northern,Health Centre,Government/public,Rural,-9.64605,33.81253,,
Karonga,KA,205,Kaporo Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-9.76756,33.87466,,
Karonga,KA,215,Karonga BLM,Northern,Clinic,NGO,Urban,-9.94027,33.92436,,
Karonga,KA,217,Kasoba Health Centre,Northern,Health Centre,Government/public,Rural,-9.87355,33.86972,,
Karonga,KA,221,"Kwambukwa Private Clinic, Mbuk",Northern,Clinic,Private for profit,Urban,-9.94049,33.92423,,
Karonga,KA,207,Lupembe Health Centre,Northern,Health Centre,Government/public,Rural,-10.06628,33.98778,,
Karonga,KA,208,Lwezga Health Centre,Northern,Health Centre,Government/public,Rural,-10.56692,34.17943,,
Karonga,KA,222,"Maneno Private Clinic, Mhone,",Northern,Clinic,Private for profit,Urban,-9.94014,33.92436,,
Karonga,KA,218,Mlare Health Centre,Northern,Health Centre,Government/public,Rural,-10.173,34.03591,,
Karonga,KA,209,Mpata Health Centre,Northern,Health Centre,Government/public,Rural,-9.96062,33.81525,,
Karonga,KA,210,Ngana Health Centre,Northern,Health Centre,Government/public,Rural,-9.62021,33.69891,,
Karonga,KA,211,Nyungwe Health Centre,Northern,Health Centre,Government/public,Rural,-10.28546,34.10851,,
Karonga,KA,212,Sangiro Health centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.51609,34.21346,,
Karonga,KA,213,St. Anne's Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.41184,34.21188,,
Karonga,KA,223,Timunyazge Clinic,Northern,Clinic,Private for profit,Rural,-10.21191,34.08743,,
Karonga,KA,214,Wiliro Health Centre,Northern,Health Centre,Government/public,Rural,-9.89312,33.61404,,
Karonga,KA,224,Chilumba Barracks,Northern,Health Centre,Government/public,Rural,-10.39021,34.20897,,
Karonga,KA,225,Wovwe Escom Clinic,Northern,Clinic,Company,Rural,-10.44389,34.08461,,
,,,,,,,,,,,
Nkhata Bay,NB,315,Nkhata Bay District Hospital,Northern,District Hospital,Government/public,Urban,-11.60159,34.29872,,
Nkhata Bay,NB,305,Chintcheche Rural Hospital,Northern,Rural/Community Hospital,Government/public,Urban,-11.82719,34.16836,,
Nkhata Bay,NB,301,Bula Health Centre,Northern,Health Centre,Government/public,Rural,-11.22268,34.12324,,
Nkhata Bay,NB,302,Chesamu Health Centre,Northern,Health Centre,Government/public,Rural,-11.85422,34.01836,,
Nkhata Bay,NB,303,Chikwina Health Centre,Northern,Health Centre,Government/public,Rural,-11.39694,34.16973,-11.39694,34.16973
Nkhata Bay,NB,321,Chisala Health Centre,Northern,Health Centre,Government/public,Rural,-11.57458,34.12201,-11.57458,34.12201
Nkhata Bay,NB,306,Chitheka Health Centre,Northern,Health Centre,Government/public,Rural,-11.70191,33.95147,-11.70191,33.95147
Nkhata Bay,NB,308,Kachere Health Centre,Northern,Health Centre,Government/public,Rural,-12.00327,34.04961,-12.00327,34.04961
Nkhata Bay,NB,309,Kande Health Centre,Northern,Health Centre,Government/public,Rural,-11.93641,34.10944,-11.93641,34.10944
Nkhata Bay,NB,311,Liuzi Health Centre,Northern,Health Centre,Government/public,Rural,-12.18971,34.01572,-12.18971,34.01572
Nkhata Bay,NB,324,Maula Health Centre,Northern,Health Centre,Government/public,Rural,-11.73518,34.23514,-11.73518,34.23514
Nkhata Bay,NB,313,Mpamba Health Centre,Northern,Health Centre,Government/public,Rural,-11.54697,34.19727,-11.54697,34.19727
Nkhata Bay,NB,314,Mzenga Health Centre,Northern,Health Centre,Government/public,Rural,-11.73249,34.07401,-11.73249,34.07401
Nkhata Bay,NB,319,Usisya Health Centre,Northern,Health Centre,Government/public,Rural,-11.2394,34.20941,-11.2394,34.20941
Nkhata Bay,NB,310,Khondowe,Northern,Health Centre,Government/public,Rural,-11.07281,34.21939,-11.07281,34.21939
Nkhata Bay,NB,317,Ruarwe Dispensary,Northern,Dispensary,Government/public,Rural,-11.11377,34.23093,-11.11377,34.23093
Nkhata Bay,NB,320,Nthungwa Health Centre,Northern,Health Centre,Government/public,Rural,-11.66014,33.80046,-11.66014,33.80046
Nkhata Bay,NB,312,Lwazi Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.51864,34.15115,-11.51864,34.15115
Nkhata Bay,NB,304,Chilambwe Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-11.69114,34.31617,-11.69114,34.31617
Nkhata Bay,NB,325,Vizara Dispensary,Northern,Dispensary,Private for profit,Rural,-11.66656,34.26115,-11.66656,34.26115
Nkhata Bay,NB,326,Cumnock Private Clinic,Northern,Clinic,Private for profit,Rural,-11.52705,34.08482,-11.52705,34.08482
Nkhata Bay,NB,327,Nkhata Bay Private Clinic,Northern,Clinic,Private for profit,Urban,-11.60663,34.29549,-11.60663,34.29549
Nkhata Bay,NB,328,Raha Private Clinic,Northern,Clinic,Private for profit,Urban,-11.61228,34.26874,-11.61228,34.26874
Nkhata Bay,NB,322,Banja La Mstogolo (BLM) Nkhata,Northern,Clinic,NGO,Urban,-11.60907,34.29899,-11.60907,34.29899
Nkhata Bay,NB,329,Mwaya Clinic,Northern,Dispensary,Government/public,Rural,-11.97658,34.07603,-11.97658,34.07603
Nkhata Bay,NB,323,Kavuzi Clinic,Northern,Clinic,Company,Rural,-11.67441,34.08166,-11.67441,34.08166
Nkhata Bay,NB,330,Kawalazi Estate Clinic,Northern,Clinic,Company,Rural,-11.64406,34.10983,-11.64406,34.10983
Nkhata Bay,NB,,Thoto Dispensary,Northern,Dispensary,Government/public,Rural,-11.45315,34.27732,,
Nkhata Bay,NB,,Chombe Estate Dispensary,Northern,Dispensary,Company,Rural,-11.64771,34.21214,,
,,,,,,,,,,,
Rumphi,RU,417,Rumphi District Hospital,Northern,District Hospital,Government/public,Urban,-11.01993,33.85422,,
Rumphi,RU,419,Tcharo Health Centre,Northern,Health Centre,Christian Health Association of Malawi (CHAM),Rural,-10.96193,34.22225,,
Rumphi,RU,401,Bolero Rural Hospital,Northern,Rural/Community Hospital,Government/public,Urban,-10.97843,33.74342,,
Rumphi,RU,408,Katowo Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-10.81278,33.52222,,
Rumphi,RU,411,Mhuju Rural Hospital,Northern,Rural/Community Hospital,Government/public,Rural,-10.86685,33.99765,,
